Incident_ID,Incident Date,State,City Or County,Address,# Killed,# Injured,TotalVictim
50081,15-Oct-16,Alabama,Mobile,1800 block of St Stephens Road,0,5,5
50082,15-Oct-16,Illinois,Rockford,7801 East State St,1,5,6
50083,15-Oct-16,California,Los Angeles,2918 Rimpau Blvd,4,11,15
50084,14-Oct-16,Illinois,Chicago,3300 block of W Maypole Ave,1,6,7
50086,9-Oct-16,Michigan,Grand Rapids,1850 28th Street SE,1,8,9
50089,4-Oct-16,Louisiana,New Orleans,3727 Ulloa Street,3,2,5
50091,2-Oct-16,Texas,San Antonio,2600 South Flores Street,1,4,5
50097,26-Sep-16,Texas,Houston,5450 Weslayan St,1,6,7
50099,24-Sep-16,Maryland,Baltimore,Greenmount Ave and Preston St,0,8,8
50100,23-Sep-16,Washington,Burlington,201 Cascade Mall Dr,5,0,5
50104,17-Sep-16,Florida,Miami,20582 SW 119th Ave,0,6,6
50105,17-Sep-16,Florida,Orlando,3918 Columbia St,1,6,7
50107,17-Sep-16,District of Columbia,Washington,2600 block of Birney Place SE,2,7,9
50109,16-Sep-16,Pennsylvania,Philadelphia,5100 block of Sansom St,2,5,7
50111,13-Sep-16,Indiana,Fort Wayne,1723 E Wayne St,3,2,5
50112,11-Sep-16,Louisiana,New Orleans,2349 S Claiborne Ave,1,5,6
50113,11-Sep-16,Missouri,Kansas City,500 block of Westport Rd,0,6,6
50114,11-Sep-16,Michigan,Saginaw,2207 Pierce Road,0,5,5
50115,11-Sep-16,North Carolina,New Bern,1100 block of Highway 70,0,5,5
50120,8-Sep-16,Arkansas,Hot Springs National Park (Hot Springs),300 block of Lacey St,1,4,5
50121,5-Sep-16,Illinois,Chicago,2700 block of W Lexington Ave,2,3,5
50123,4-Sep-16,Virginia,Roanoke,1020 Orange Ave NE,1,10,11
50128,29-Aug-16,New Jersey,Egg Harbor City,907 White Horse Pike,1,5,6
50129,28-Aug-16,Texas,Lubbock,2200 block of 17th St,0,6,6
50132,28-Aug-16,Alabama,Dadeville,512 E Columbus St,0,5,5
50133,27-Aug-16,Alabama,Bessemer (Brighton),3810 7th Ave,1,6,7
50134,27-Aug-16,Florida,Miami,1900 block of NW 83rd Terr,2,4,6
50135,25-Aug-16,New Jersey,Bridgeton,Marion Street,0,5,5
50137,21-Aug-16,Connecticut,Bridgeport,19 Plymouth St,0,13,13
50139,20-Aug-16,Washington,Tacoma,900 block of Pacific Avenue,0,5,5
50140,20-Aug-16,Alabama,Citronelle,Jim Platt Road,5,0,5
50144,14-Aug-16,Minnesota,Minneapolis,1717 Plymouth Ave N,0,5,5
50154,8-Aug-16,Florida,Jacksonville,1214 Labelle St,0,7,7
50160,6-Aug-16,Pennsylvania,Reading (Sinking Spring),51 Winding Brook Drive,5,0,5
50168,31-Jul-16,Texas,Austin,208 E 6th St,1,4,5
50169,30-Jul-16,Missouri,Saint Louis,5000 block of Kensington Ave,0,5,5
50171,30-Jul-16,Georgia,Townsend (Eulonia),14699 Highway 17,0,5,5
50172,29-Jul-16,Georgia,Athens,Trail Creek St,0,7,7
50173,28-Jul-16,New York,Elmira,303 College Ave,0,5,5
50176,25-Jul-16,Florida,Fort Myers,3580 Evans Ave,2,19,21
50177,24-Jul-16,Ohio,Hamilton,1555 Main St,1,7,8
50181,23-Jul-16,Texas,Bastrop,202 Childers Drive,4,1,5
50182,22-Jul-16,Illinois,Kankakee,300 block of North Wildwood Avenue,0,5,5
50183,21-Jul-16,Illinois,Chicago,4400 block of South Leamington,0,5,5
50188,17-Jul-16,Louisiana,Baton Rouge,9611 Airline Hwy,4,3,7
50189,16-Jul-16,Texas,Dallas,6300 block of Benavides Drive,0,5,5
50190,16-Jul-16,Ohio,Cleveland,5000 block of Euclid Avenue,0,5,5
50191,16-Jul-16,California,Bakersfield,621 Stephens Dr,1,14,15
50193,16-Jul-16,Tennessee,Clarksville,1348 College Street,0,6,6
50198,13-Jul-16,Georgia,Warner Robins,105 Magnolia Avenue,0,5,5
50200,11-Jul-16,Maryland,Baltimore,1800 block of W. North Avenue,0,5,5
50203,11-Jul-16,Michigan,Saint Joseph,811 Port St,3,2,5
50205,7-Jul-16,Texas,Dallas,800 Main St,5,9,14
50206,7-Jul-16,Tennessee,Bristol,536 Volunteer Pkwy,1,4,5
50208,4-Jul-16,New York,Brooklyn,419 Chauncey St,0,7,7
50209,4-Jul-16,Texas,Houston,1312 Robin,3,2,5
50213,4-Jul-16,Arizona,Phoenix,4000 block of West Southern Avenue,2,6,8
50214,3-Jul-16,Louisiana,Monroe,401 Lea Joyner Memorial Expy,2,3,5
50216,30-Jun-16,Illinois,Chicago,9500 block of South Loomis Street,1,4,5
50217,29-Jun-16,Nevada,Las Vegas,6100 block of West Lake Mead Boulevard,5,0,5
50222,26-Jun-16,North Carolina,Charlotte,2240 Camp Greene St,0,5,5
50223,26-Jun-16,Georgia,Atlanta,1500 block of Moreland Avenue SE,1,4,5
50226,25-Jun-16,Texas,Fort Worth,2466 East Lancaster Avenue,2,5,7
50230,24-Jun-16,Connecticut,Hartford,Brook and Winter Street,0,5,5
50231,24-Jun-16,Maryland,District Heights,3100 block of Orleans Ave,3,2,5
50233,22-Jun-16,Georgia,Dekalb (county),Lancashire Drive and Central Drive,1,4,5
50244,13-Jun-16,New York,Brooklyn,Avenue D and E. 57th,0,5,5
50245,13-Jun-16,Illinois,Chicago,3200 block of West Congress,0,5,5
50246,12-Jun-16,Florida,Orlando,1912 S Orange Ave,50,53,103
50247,11-Jun-16,New Mexico,Roswell,2300 block of Davis Ave,5,0,5
50251,11-Jun-16,California,Panorama City,8500 block of Cedros Avenue,3,2,5
50257,5-Jun-16,Florida,Cape Coral,2600 block of Skyline Boulevard S,3,3,6
50258,5-Jun-16,Arizona,Phoenix,8152 N Black Canyon Hwy,2,4,6
50263,30-May-16,Maryland,Baltimore,500 block of East 43rd Street,0,5,5
50264,30-May-16,California,Sacramento,3900 block of 44th,0,5,5
50266,29-May-16,New Jersey,Trenton,600 block of Martin Luther King Jr. Boulevard,0,6,6
50268,29-May-16,Texas,Houston,13210 Memorial Dr,2,6,8
50269,23-May-16,New Jersey,Newark,102 Isabella Avenue,0,5,5
50276,15-May-16,Georgia,Moultrie,Rossman Dairy Road,5,0,5
50278,14-May-16,Georgia,Atlanta,Cordova and Peoples Street,0,5,5
50280,11-May-16,Alabama,Birmingham,1400 block of 21st St N,1,4,5
50281,11-May-16,Illinois,Chicago,7100 block of South State Street,0,5,5
50283,6-May-16,Michigan,Detroit,12300 block of Gratiot,1,4,5
50285,6-May-16,Maryland,Bethesda,7101 Democracy Blvd,3,3,6
50286,5-May-16,Louisiana,Shreveport,300 block of North Thomas Drive,2,6,8
50288,4-May-16,Minnesota,Minneapolis,16th Avenue North and Newton Avenue North,1,7,8
50289,1-May-16,Tennessee,Murfreesboro,1955 Old Castle Drive,0,5,5
50291,29-Apr-16,California,Oakland,3200 block of San Pablo Avenue,0,5,5
50294,26-Apr-16,Maryland,District Heights (Forestville),6500 block of Hil-Mar Drive,1,4,5
50296,25-Apr-16,Florida,Miami,1506 Northwest 70th Street,0,5,5
50297,24-Apr-16,Virginia,Halifax,1055 L P Bailey Memorial Hwy,0,5,5
50298,24-Apr-16,Illinois,Chicago (Englewood),2000 block of West 68th Place,2,3,5
50303,23-Apr-16,Kansas,Topeka,3732 SW Topeka Blvd,1,4,5
50304,22-Apr-16,Ohio,Piketon,4077 Union Hill Rd,8,0,8
50305,22-Apr-16,Georgia,Appling,3162 Johnson Drive,6,0,6
50307,19-Apr-16,Alabama,Blountsville,81551 US Highway 278,1,4,5
50309,19-Apr-16,Illinois,Chicago,1400 block of West 84th Street,1,4,5
50313,17-Apr-16,Texas,Edinburg,5021 W St Hwy 107,1,6,7
50314,16-Apr-16,Michigan,Detroit,9500 block of Oakland,1,4,5
50315,16-Apr-16,Florida,Orlando,1100 block of Conley Street,2,4,6
50327,19-Mar-16,Florida,Plantation,12050 NW 4th Court,1,4,5
50329,15-Mar-16,Georgia,Atlanta,Donald Lee Hollowell Drive,0,5,5
50334,11-Mar-16,New Jersey,Trenton,Oliver Avenue,0,5,5
50335,9-Mar-16,Pennsylvania,Pittsburgh,1304 Franklin Ave,5,3,8
50336,8-Mar-16,Texas,San Antonio,Sherman St,2,3,5
50338,7-Mar-16,Kansas,Kansas City,3000 block of South 36th Street,5,0,5
50339,6-Mar-16,Massachusetts,Chelsea,120 Washington Avenue,1,6,7
50341,6-Mar-16,California,Compton,900 block of West Victoria Street,1,8,9
50344,28-Feb-16,Michigan,Detroit,8800 block of Livernois,0,5,5
50347,26-Feb-16,Washington,Belfair,300 block of Horseshoe Rd.,5,0,5
50348,25-Feb-16,Kansas,Hesston,200 S Ridge Rd,4,14,18
50349,23-Feb-16,Arizona,Glendale,4812 West Sunnyside Ave,5,0,5
50351,21-Feb-16,Texas,Houston,5100 block of Idaho Street,0,5,5
50354,20-Feb-16,Michigan,Kalamazoo,5581 Cracker Barrel Blvd,6,2,8
50357,20-Feb-16,Mississippi,Iuka,231 Co Rd 201,2,3,5
50361,14-Feb-16,Alabama,Eutaw (Union),Earnest Friday Road,0,5,5
50363,7-Feb-16,Mississippi,Pass Christian,Davis Avenue,2,4,6
50364,7-Feb-16,Florida,Orlando,7432 Universal Blvd,2,10,12
50365,7-Feb-16,New York,Rochester,547 State St,1,7,8
50369,6-Feb-16,Florida,Tampa,8123 N Nebraska Ave,2,6,8
50371,30-Jan-16,Arizona,Glendale,67th and Missouri Avenue,3,5,8
50372,27-Jan-16,Virginia,Chesapeake,1401 N. George Washington Hwy,6,0,6
50373,26-Jan-16,Washington,Seattle,Airport Way S. and S. Atlantic St.,2,3,5
50374,25-Jan-16,California,Perris,140 S. D Street,1,4,5
50377,11-Jan-16,Delaware,Wilmington,900 block of Brown Street,1,4,5
50379,8-Jan-16,Illinois,Chicago,1500 block of South Kedzie,1,4,5
60000,31-Dec-17,Colorado,Littleton (Highlands Ranch),3404 E County Line Rd,2,6,8
60004,26-Dec-17,Florida,Miami,NW 18th Ave and 86th Ter,0,5,5
60005,24-Dec-17,Mississippi,Vicksburg,1111 Mulberry Street,0,5,5
60006,24-Dec-17,Alabama,Troy,100 block of Chapman St,1,4,5
60012,15-Dec-17,California,Pacoima,13041 Jouett Street,0,5,5
60021,30-Nov-17,Michigan,Detroit,11000 block of Gunston,1,4,5
60022,24-Nov-17,Mississippi,Brookhaven,119 Martin Street,1,6,7
60023,24-Nov-17,Ohio,Cleveland,11618 Buckeye Rd,1,5,6
60026,16-Nov-17,Georgia,Columbus,1400 block of 15th Street,0,7,7
60027,14-Nov-17,California,Corning,17357 Stagecoach Rd,6,12,18
60029,12-Nov-17,Indiana,Gary,4601 Melton Rd,0,7,7
60030,12-Nov-17,California,Fresno,S Calvin Ave,0,5,5
60033,11-Nov-17,Louisiana,New Orleans,Forstall Street and Burgundy Street,1,5,6
60034,11-Nov-17,North Carolina,Fayetteville,2835 Bragg Blvd,1,5,6
60037,5-Nov-17,Texas,Sutherland Springs,216 4th St,27,20,47
60044,3-Nov-17,Louisiana,Lacombe,27600 block of Mirmar Street,1,4,5
60048,27-Oct-17,Kentucky,Louisville,1716 Prentice St,0,6,6
60050,23-Oct-17,California,Clearlake Oaks,13000 block of Anchor Village,2,3,5
60052,22-Oct-17,Alabama,Lanett,1606 19th St Sw,2,7,9
60057,18-Oct-17,Maryland,Edgewood,2111 Emmorton Park Rd,3,3,6
60065,9-Oct-17,Texas,Houston,3352 Old Spanish Trail,0,5,5
60067,6-Oct-17,Illinois,Chicago,8000 block of S Marshfield,0,5,5
60070,1-Oct-17,Kansas,Lawrence,1000 block of Massachusetts St,3,2,5
60071,1-Oct-17,Nevada,Las Vegas,3950 Las Vegas Blvd S,59,441,500
60078,24-Sep-17,Tennessee,Antioch,3890 Pin Hook Rd,1,8,9
60081,23-Sep-17,California,Bakersfield,818 Real Rd,1,4,5
60082,23-Sep-17,Illinois,Danville,Seminary St and Jackson St,0,5,5
60084,20-Sep-17,Indiana,Gary,4300 block of 23rd Ct,0,5,5
60086,17-Sep-17,Virginia,Petersburg,300 Mistletoe St,1,4,5
60087,16-Sep-17,South Carolina,Columbia,920 Lady Street,0,8,8
60088,13-Sep-17,Tennessee,Memphis,1000 block of Morehead St,1,5,6
60092,10-Sep-17,Texas,Plano,1712 West Spring Creek Parkway,9,1,10
60097,3-Sep-17,California,Inglewood,10100 block of S Firmona Ave,2,3,5
60100,28-Aug-17,New Mexico,Clovis,701 N Main St,2,4,6
60101,27-Aug-17,California,Sacramento,7760 24th St,1,4,5
60112,20-Aug-17,Illinois,Chicago,11901 S Loomis St,2,5,7
60113,19-Aug-17,Ohio,Cleveland,11143 Superior Ave,1,4,5
60116,13-Aug-17,Pennsylvania,Philadelphia,39th St and Melon St,0,5,5
60120,8-Aug-17,Illinois,Chicago,1 block of East 37th St,1,6,7
60121,6-Aug-17,New York,Bronx,Wickham Ave,0,6,6
60123,6-Aug-17,California,Oakland,1000 block of 106th Avenue,0,7,7
60127,4-Aug-17,Montana,Lodge Grass,200 block of North Helen Street,3,2,5
60131,1-Aug-17,Washington,Toppenish,8000 Block of Lateral C Rd,0,6,6
60132,1-Aug-17,California,Fresno,Mariposa St and A St,0,7,7
60134,30-Jul-17,Virginia,Norfolk,1500 block of Azalea Garden Rd,1,5,6
60136,29-Jul-17,New York,Buffalo,200 block of Carl St,1,4,5
60137,29-Jul-17,North Carolina,Salisbury,115 W Fisher St,2,3,5
60139,27-Jul-17,Illinois,Chicago,2000 block of E 71st St,1,4,5
60140,26-Jul-17,North Carolina,High Point,2111 E. Green Drive,1,6,7
60144,22-Jul-17,Ohio,Cincinnati,130 E Clifton Ave,0,5,5
60145,19-Jul-17,Virginia,Richmond,2300 block of Bethel St,0,5,5
60152,9-Jul-17,Virginia,Lawrenceville,500 block of Sturgeon Rd,0,7,7
60154,8-Jul-17,Ohio,Cincinnati,9917 Capstan Dr,1,8,9
60158,5-Jul-17,Maine,Madison,300 block of Russell Rd,4,1,5
60160,4-Jul-17,Virginia,Hampton,500 block of Patterson Ave,1,4,5
60166,1-Jul-17,Arkansas,Little Rock,220 W 6th St,0,25,25
60170,30-Jun-17,New York,Bronx,1650 Grand Concourse,2,6,8
60171,27-Jun-17,Illinois,Chicago,200 block of S Lotus,0,5,5
60174,24-Jun-17,Florida,Fort Lauderdale,2335 NW 16th Ct,1,4,5
60175,24-Jun-17,New York,New York (Manhattan),114th St and Manhattan Ave,0,5,5
60177,22-Jun-17,Georgia,Atlanta,1100 block of Osborne Street,1,6,7
60178,18-Jun-17,Missouri,Saint Louis,1900 block of N 14th St,3,2,5
60181,18-Jun-17,South Carolina,Myrtle Beach,311 N Ocean Blvd,0,7,7
60183,17-Jun-17,Ohio,Columbus,6252 Busch Blvd,1,4,5
60185,15-Jun-17,New Mexico,La Madera,491 NM 111,5,0,5
60186,14-Jun-17,Virginia,Alexandria,420 E Monroe Ave,1,5,6
60188,14-Jun-17,California,San Francisco,720 San Bruno,4,2,6
60192,11-Jun-17,Illinois,Chicago,3300 block of W Douglas Blvd,0,9,9
60196,9-Jun-17,Texas,Fort Worth,East Davis Avenue and New York Avenue,2,5,7
60197,8-Jun-17,Louisiana,New Orleans,3650 Franklin Ave,0,6,6
60198,6-Jun-17,Utah,Sandy,2232 Alta Canyon Drive,3,2,5
60199,5-Jun-17,Florida,Orlando,2427 Forsyth Rd,6,0,6
60201,3-Jun-17,Louisiana,New Orleans,3717 Tulane Ave,3,2,5
60203,2-Jun-17,Texas,Laredo,5301 McPherson Rd,2,3,5
60207,28-May-17,Alabama,Phenix City,100 block of 6th Street South,0,12,12
60208,28-May-17,New Jersey,Paterson,86 Main Street,1,5,6
60209,28-May-17,Mississippi,Moss Point,6103 Hwy. 63,0,5,5
60211,27-May-17,District of Columbia,Washington,100 block of Q St NW,1,7,8
60212,27-May-17,Mississippi,Bogue Chitto,2871 Lee Dr,8,1,9
60216,20-May-17,Pennsylvania,Philadelphia,2100 block of W Huntingdon St,0,10,10
60218,14-May-17,Arkansas,Jonesboro,311 S Main St,1,6,7
60219,14-May-17,Illinois,Dolton,14112 Chicago Road,0,5,5
60220,14-May-17,Florida,Avon Park,Hal McRae Blvd and Delaney Ave,0,5,5
60224,7-May-17,Illinois,Chicago,2600 block of 46th Pl,2,8,10
60227,1-May-17,Texas,Dallas,3200 block of Reynolds Ave,2,3,5
60228,30-Apr-17,California,San Diego,9080 Judicial Dr,2,6,8
60229,30-Apr-17,Kansas,Topeka,4104 SW 28th,4,1,5
60230,30-Apr-17,Florida,Jacksonville,1200 Ken Knight Dr N,0,5,5
60231,30-Apr-17,South Carolina,Loris,268 N Sea Green Rd,1,5,6
60233,29-Apr-17,California,Sacramento,3800 block of 26th Avenue,0,5,5
60234,29-Apr-17,California,Whittier,10000 block of Carmentia Rd,1,5,6
60245,16-Apr-17,Ohio,Columbus,1710 Cleveland Av,0,9,9
60249,15-Apr-17,Alabama,Birmingham,1480 Center Point Pkwy,0,6,6
60256,7-Apr-17,Texas,Houston,3829 Mount Pleasant St,5,0,5
60257,7-Apr-17,Minnesota,Saint Paul,1600 block of English St,4,1,5
60258,7-Apr-17,Illinois,Chicago,5600 block of W Lake St,1,5,6
60261,3-Apr-17,Texas,Lubbock,5401 Ave Q,0,7,7
60262,2-Apr-17,Illinois,Chicago,3500 block of W Van Buren St,2,4,6
60263,2-Apr-17,Iowa,Des Moines,2500 Martin Luther King Jr. Parkway,0,5,5
60264,1-Apr-17,California,Pittsburg,100 block of Madoline Street,0,5,5
60265,1-Apr-17,Florida,Tampa,219 S Howard Ave,1,4,5
60266,1-Apr-17,Oklahoma,Oklahoma City,1200 block of N Woodward Avenue,2,3,5
60268,27-Mar-17,Florida,Sanford,209 Hays Dr,2,4,6
60270,26-Mar-17,Texas,Houston,5619 Aldine Bender Rd,2,4,6
60271,26-Mar-17,Ohio,Cincinnati,4601 Kellogg Ave,2,15,17
60272,25-Mar-17,Tennessee,Knoxville,Minnesota Ave,1,4,5
60275,24-Mar-17,California,Fresno,300 block of South Villa Avenue,1,4,5
60276,24-Mar-17,Missouri,Saint Louis,5100 block of Palm St,1,6,7
60277,22-Mar-17,Wisconsin,Rothschild,1133 E Grand Ave,5,0,5
60278,19-Mar-17,Kentucky,Louisville,1512 Portland Avenue,1,5,6
60279,18-Mar-17,Michigan,Detroit,16000 block of Rutherford,3,2,5
60285,4-Mar-17,Kansas,Topeka,23rd and Bellview,1,4,5
60288,3-Mar-17,California,Riverside,8300 block of Trey Ave,0,5,5
60289,28-Feb-17,Ohio,Cincinnati,1700 of Casey Dr,0,6,6
60291,26-Feb-17,Indiana,Gary,1700 Grant St,1,4,5
60292,25-Feb-17,Ohio,Warren,1564 Niles Cortland Rd SE,2,3,5
60293,25-Feb-17,Florida,Jacksonville,3604 Moncrief Rd,1,4,5
60297,20-Feb-17,Ohio,Cleveland,1082 East 105th Street,0,5,5
60302,15-Feb-17,Illinois,Chicago,3949 South Albany Avenue,3,2,5
60303,12-Feb-17,Missouri,Caruthersville,908 Truman Blvd,1,6,7
60305,12-Feb-17,Florida,Greenville,Church Ave and Obadiah St,0,5,5
60308,10-Feb-17,Louisiana,New Orleans,2nd St and Dryades St,1,5,6
60310,8-Feb-17,Ohio,Cleveland,16379 Euclid Ave,1,4,5
60312,7-Feb-17,Arkansas,Little Rock,25 Par Drive,1,4,5
60317,29-Jan-17,Louisiana,Shreveport,6363 Hearne Ave,1,4,5
60319,27-Jan-17,Tennessee,Brownsville,221 Morgan St,0,10,10
60320,26-Jan-17,Georgia,Albany,1510 Maryland Drive,2,3,5
60321,25-Jan-17,Illinois,Chicago,500 block of E 75th St,0,6,6
60322,22-Jan-17,Texas,Manvel,200 block of Oak Shore Dr,3,2,5
60325,21-Jan-17,Georgia,Jonesboro,6510 Tara Blvd,0,6,6
60326,21-Jan-17,Florida,Boynton Beach,500 NE 2nd St,0,5,5
60328,20-Jan-17,Mississippi,Como,Smart Road,1,4,5
60331,16-Jan-17,Florida,Miami,6011 NW 32nd Ave,0,8,8
60333,15-Jan-17,Mississippi,Magnolia,6000 block of Church Road,1,4,5
60334,12-Jan-17,Missouri,Kansas City,8607 E 61st Terrace,3,2,5
60340,6-Jan-17,Florida,Fort Lauderdale,100 Terminal Dr,5,6,11
60343,1-Jan-17,Mississippi,Winstonville,114 North Greyer Street,0,5,5
60345,1-Jan-17,Florida,Miami,8000 block of NW 14th Ave,0,7,7
70000,31-Dec-18,Ohio,Cleveland,4462 Denison Ave,3,2,5
70002,28-Dec-18,Missouri,Saint Charles,150 Whetstone Dr,4,1,5
70004,23-Dec-18,Missouri,Springfield,1042 W College St,1,6,7
70006,18-Dec-18,Maryland,Baltimore,3942 Park Heights Ave,0,5,5
70007,15-Dec-18,Florida,Miami,239 NW 16th St,0,5,5
70012,8-Dec-18,California,Inglewood,801 S Inglewood Ave,0,5,5
70013,8-Dec-18,New York,Corona (Queens),89-25 130th St,0,5,5
70014,1-Dec-18,Florida,Miami,NW Fifth Ave and NW Eighth St,0,5,5
70019,23-Nov-18,Florida,Miami,5801 NW 27th Ave,2,5,7
70020,22-Nov-18,Indiana,Fort Wayne,6100 block of Downingtown Dr,3,2,5
70022,19-Nov-18,Colorado,Denver,1200 21st Street,1,4,5
70024,18-Nov-18,California,Los Angeles (Watts),95th St and Defiance Ave,1,4,5
70027,13-Nov-18,New Mexico,Gallup,CR 1 and Defiance Draw Rd,4,1,5
70030,7-Nov-18,California,Thousand Oaks,99 Rolling Oaks Dr,13,2,15
70031,3-Nov-18,New York,Watertown,136 Franklin St,0,5,5
70033,2-Nov-18,Florida,Tallahassee,1950 Thomasville Rd,3,4,7
70034,1-Nov-18,Minnesota,Minneapolis,3400 block of Girard Ave N,0,5,5
70035,1-Nov-18,Missouri,Springfield,906 E Locust St,3,2,5
70037,30-Oct-18,California,Vallejo,Woodrow Ave and Reis Ave,2,3,5
70038,30-Oct-18,California,Los Angeles,65th Place and Vermont Avenue,0,5,5
70039,29-Oct-18,California,Riverside,3252 Mission Inn Ave,0,7,7
70041,27-Oct-18,Tennessee,Memphis,4275 Lady Slipper Ln,0,5,5
70042,27-Oct-18,Pennsylvania,Pittsburgh,5898 Wilkins Ave,11,7,18
70044,24-Oct-18,Illinois,Chicago,6200 block of S King Dr,0,5,5
70045,22-Oct-18,Illinois,Chicago,9231 S Cottage Grove Av,0,6,6
70046,21-Oct-18,Florida,Jacksonville,900 block of A Philip Randolph Blvd,1,5,6
70049,15-Oct-18,Tennessee,Columbia,1075 Carters Creek Pike,5,0,5
70053,13-Oct-18,Texas,Taft,511 Wilburn St,4,1,5
70055,12-Oct-18,South Carolina,Spartanburg,1620 John B White Sr Blvd,0,6,6
70060,6-Oct-18,California,Oakland,Williams St and Telegraph Ave,0,6,6
70063,3-Oct-18,South Carolina,Florence,932 Ashton Dr,2,6,8
70064,3-Oct-18,Pennsylvania,Philadelphia,5101 Germantown Ave,1,4,5
70067,29-Sep-18,Florida,Orlando,1700 block of 24th St,1,4,5
70069,24-Sep-18,Tennessee,Memphis,1528 Ragan St,3,2,5
70070,23-Sep-18,California,Bakersfield,2600 block of Chandler Court,1,4,5
70074,20-Sep-18,Maryland,Aberdeen,1501 Perryman Rd,4,3,7
70075,20-Sep-18,New York,Syracuse,1317 Midland Ave,0,5,5
70076,19-Sep-18,Wisconsin,Middleton,1850 Deming Way,1,4,5
70077,19-Sep-18,Pennsylvania,Masontown,1 E Church St,1,4,5
70081,17-Sep-18,Maryland,Silver Spring,123 Amberleigh Dr,4,1,5
70083,12-Sep-18,California,Bakersfield,660 Manwell Blvd,6,0,6
70085,10-Sep-18,Tennessee,Memphis,140 Lt George W Lee Ave,0,5,5
70086,9-Sep-18,Alabama,Auburn,224 W Magnolia St,1,4,5
70090,6-Sep-18,Ohio,Cincinnati,511 Walnut St,4,2,6
70094,2-Sep-18,Alabama,Birmingham,500 23rd St S,0,7,7
70096,2-Sep-18,California,San Bernardino,1277 East Lynwood Drive,0,8,8
70099,1-Sep-18,Ohio,Cleveland,3232 Lakeside Ave East,1,7,8
70100,31-Aug-18,Colorado,Aurora,1900 block of Peoria St,2,3,5
70102,26-Aug-18,Texas,Wichita Falls,2400 Sheppard Access Rd,1,4,5
70103,26-Aug-18,Florida,Jacksonville,2 Independent Dr,3,9,12
70104,25-Aug-18,Virginia,Richmond,4 N 18th St,0,5,5
70105,25-Aug-18,Tennessee,Nashville,1564 9th Ave N,1,4,5
70110,20-Aug-18,Tennessee,Jackson,60 Heritage Square,1,4,5
70112,19-Aug-18,Illinois,Chicago,7400 block of S Dante Ave,0,5,5
70114,17-Aug-18,Illinois,Chicago,1600 block of W 65th St,0,7,7
